tweet_id,username,text,tweet_date,search_term,lat,long,radius
1221415505250213888,asif rizvi,Rona lela,2020-01-26 12:52:03,rona,29.760427,-95.369804,15mi
1210658875642449921,Asad Chandio,"citizenship bill par randi rona kyun macha rahe hai.very logical.sub continent ke non muslims india se panah nhn mangege toh kisse mangege.padhe likhe liberal muslims isko discriminatory bol rahe hai sunkar dil toot gaya.
aap kya samajhte hai?
(Message)",2019-12-27 20:29:03,rona,29.760427,-95.369804,15mi
1218621861719879681,Josué,Esa es Rona,2020-01-18 19:51:07,rona,29.760427,-95.369804,15mi
1231031967552081920,"-`,Jûłiąn♦️☣️🛂",its rona szn... but theres no ronas pic.twitter.com/cl3u7gAS3c,2020-02-22 01:44:27,rona,29.760427,-95.369804,15mi
1223830500881715200,bree,educate urself. c*rona virus is just the flu. the people that are dying from it are the same people who would die from a regular case of the flu,2020-02-02 04:48:23,rona,29.760427,-95.369804,15mi
1235307219870265344,Cameron🔜TBD,Omg first date goals and we didn’t catch the rona. Next date wedding? https://twitter.com/_kelseygracee/status/1235303313928843264 …,2020-03-04 20:52:46,rona,29.760427,-95.369804,15mi
1235225774778732549,Comfortable⚜Views,fuk round with that Rona if u want too.... Lol,2020-03-04 15:29:08,rona,29.760427,-95.369804,15mi
1235224143928479744,Nate Eguia,inject the rona straight into these veins,2020-03-04 15:22:39,rona,29.760427,-95.369804,15mi
1233765774310899712,Jerry,So the prices Gonna go down or what ? It’s rona season boys https://twitter.com/Bossip/status/1233406839523565568 …,2020-02-29 14:47:37,rona,29.760427,-95.369804,15mi
1258545381467545601,longhorn Demetre,"Well people die every day, a lot more than the rona, I knew a guy that got hit on his bike last week and killed him dead. Two weeks ago I knew a guy that died at work. People die every day from the flu, cancer, auto accidents ........ what, I’m numb from this damn rona",2020-05-07 23:52:56,rona,29.760427,-95.369804,15mi
1258543140245434371,mike morin,Idgf if rona still going on I’m coming in that bitch with a whole monsters inc yellow suit on!,2020-05-07 23:44:01,rona,29.760427,-95.369804,15mi
1258538435070943232,briibitches..🥶,"it’s crazy how much money we been saving , thats the only thing i liked about this rona.",2020-05-07 23:25:20,rona,29.760427,-95.369804,15mi
1258537243112701953,Nës,Da rona got to it smh,2020-05-07 23:20:35,rona,29.760427,-95.369804,15mi
1258527320593166336,Louis,Rona said she down,2020-05-07 22:41:10,rona,29.760427,-95.369804,15mi
1258527029940514817,Karol Baskin,Oh yes ma’am I did right before the rona. But no Idk anybody :/,2020-05-07 22:40:00,rona,29.760427,-95.369804,15mi
1258522584456376320,ThisIsHowEndingTheWorld... huh,"apparently i don’t.... at least not during the Rona... pre Rona I would get out the house, go to gym.... change of scenery usually gives me perspective",2020-05-07 22:22:21,rona,29.760427,-95.369804,15mi
1258521424072896514,B.I.G.K.E.V.,I’d risk Rona for a good 3 on 3 rn,2020-05-07 22:17:44,rona,29.760427,-95.369804,15mi
1258516568645894144,King,"Rona had her time, it’s my time now ",2020-05-07 21:58:26,rona,29.760427,-95.369804,15mi
1258515742728704001,🦍,You being out here afraid to catch the rona but not a bullet ,2020-05-07 21:55:09,rona,29.760427,-95.369804,15mi
1258515570305069056,Celeste,Old high school BFF are trying to have lunch together but this ain’t it with this RONA ,2020-05-07 21:54:28,rona,29.760427,-95.369804,15mi
1258512369757483009,How thick is it? 🇯🇲,I’ve seen more since the Rona. I live in an apartment close to a few schools and I haven’t seen kids out as much as I have this last month.,2020-05-07 21:41:45,rona,29.760427,-95.369804,15mi
1258509218006437889,Rene Olivarez,"Sometimes your gotta RISK IT to get the biscuit!  BUT hopefully not the RONA in the process!  Ha... JK!  #ClassyBougieRatchet @ Houston, Texas https://www.instagram.com/p/B_5tl-3Jte1NKakzAIA---bYvAECgPyme7Hiow0/?igshid=1u2uwvrw1eoch …",2020-05-07 21:29:14,rona,29.760427,-95.369804,15mi
1258508728547987457,Brittney Williams, I hate you “catch rona to bona lee”,2020-05-07 21:27:17,rona,29.760427,-95.369804,15mi
1258502885463203841,BTC N RONA SZN Sam,Can you DM me his bank account info? I can make sure this never happens again.,2020-05-07 21:04:04,rona,29.760427,-95.369804,15mi
1258498779927511040,Nanita,The la times always got some new info on rona  https://twitter.com/latimeshealth/status/1258486267739701248 …,2020-05-07 20:47:45,rona,29.760427,-95.369804,15mi
1258498459759513601,michael,Lost my drivers license and I can’t renew it because Ms. Rona closed the DPSI really have to ask my mom to buy me wine now Smh,2020-05-07 20:46:29,rona,29.760427,-95.369804,15mi
1246932211766636550,Ry-reezy,This nigga got the Rona https://twitter.com/ScubaSteve757/status/1246772439243280384 …,2020-04-05 22:46:20,rona,29.760427,-95.369804,15mi
1246929667145306112,Oui’d,Miss Rona better skiddadle because I want to dress like a slut for Halloween,2020-04-05 22:36:14,rona,29.760427,-95.369804,15mi
1246917083931250690,therealcalloway🖤,alright rona play time over,2020-04-05 21:46:14,rona,29.760427,-95.369804,15mi
1246897228838572038,Kstew💭,Nah fr. Right after the rona let’s us free ,2020-04-05 20:27:20,rona,29.760427,-95.369804,15mi
1246893707300933638,Lex🧟‍♂️,Maybe all this Rona shit would stop y’all from being musty,2020-04-05 20:13:20,rona,29.760427,-95.369804,15mi
1246871470099378176,ETERNAREALM,To whoever robbed my boy @pictureplane  I hope you get the rona,2020-04-05 18:44:58,rona,29.760427,-95.369804,15mi
1246866351613980672,Protest White Claws,What happened to we ready for Rona https://twitter.com/JaySill/status/1246865183349317640 …pic.twitter.com/wzpJEuxiv1,2020-04-05 18:24:38,rona,29.760427,-95.369804,15mi
1246866070742413313,Tammy 😼,rona...,2020-04-05 18:23:31,rona,29.760427,-95.369804,15mi
1246858384038678528,knee gull odie yon,Hearing about the rona deaths is so jarring especially because I work for the undertaker. So many people are electing to defer the celebration for their loved ones. And it makes sense bc even in death you don’t want that shit to be like how they transitioned,2020-04-05 17:52:58,rona,29.760427,-95.369804,15mi
1246832491111088129,𝓢𝓽𝓮𝓹𝓱𝓪𝓷𝓲𝓮♥️❄️,Okay wanna tell me why hg rona just HAD to come thru when I get my boo... like the year that he grads I can’t even spend with him bc of her pic.twitter.com/qVfnwJ1jOk,2020-04-05 16:10:05,rona,29.760427,-95.369804,15mi
1246777813669228544,🤍🤍🤍🤍,T-Mobile caught the Rona too ever since that shit dropped my signal been ass ,2020-04-05 12:32:49,rona,29.760427,-95.369804,15mi
1246719192738541568,The Scorpio🦂,Tell that to the rona and this quarantine,2020-04-05 08:39:53,rona,29.760427,-95.369804,15mi
1246691062854410241,Kstew💭,Why are they’re so worried about the census rn? Everyone not making it through the rona so it won’t even be accurate ,2020-04-05 06:48:06,rona,29.760427,-95.369804,15mi
1246688631835832321,TEDDY BENDHERASS,Name that nigga Rona ,2020-04-05 06:38:26,rona,29.760427,-95.369804,15mi
1246669659052670977,Shika Sweetie,Niggas do not give AF about no damn Rona ,2020-04-05 05:23:03,rona,29.760427,-95.369804,15mi
1246659362577362944,ripjaylo,let’s not forget about this RONA bitch that got the whole country on lockdown,2020-04-05 04:42:08,rona,29.760427,-95.369804,15mi
1246632586476224513,bean/er,Gas so loud call it the rona cause it got me coughing,2020-04-05 02:55:44,rona,29.760427,-95.369804,15mi
1246629710853025792,D_Snacks,"Rona can’t stop me from wearing @NikkivsNicolee  @ Pasadena, Texas https://www.instagram.com/p/B-lTaruDpMgh2kBWtVrGl0ZlJ-aWG26slvmARc0/?igshid=zqh7wrk2amrx …",2020-04-05 02:44:18,rona,29.760427,-95.369804,15mi
1246625723005177856,Ry-reezy,Issa rona actin up lol,2020-04-05 02:28:28,rona,29.760427,-95.369804,15mi
1249838047182675974,Rocky,Currently working full time since this rona bullshit so now I’m making double too bad the government gonna rip that stimulus check right away from me,2020-04-13 23:13:05,rona,29.760427,-95.369804,15mi
1249838001334767617,JuicyyWarrant2.0,I need to go make groceries while I’m BS.. but baby that Rona living in them stores.,2020-04-13 23:12:55,rona,29.760427,-95.369804,15mi
1249825371098435590,Dillion Sneed M.Ed.,"I been shopping for all winter clothes...tech fleeces, vest, Timb boots etc etc...I’m not buying nothing for the summer until they say this Rona is a wrap ",2020-04-13 22:22:43,rona,29.760427,-95.369804,15mi
